code,name
GEFE,Xerertic Haplargids
GEFF,Ustertic Haplargids
GEFG,Vertic Haplargids
GEFH,Aquic Haplargids
GEFI,Arenic Ustic Haplargids
GEFJ,Arenic Haplargids
GEFK,Durinodic Xeric Haplargids
GEFL,Durinodic Haplargids
GEFM,Petronodic Ustic Haplargids
GEFN,Petronodic Haplargids
GEFO,Vitrixerandic Haplargids
GEFP,Vitrandic Haplargids
GEFQ,Xeric Haplargids
GEFR,Ustic Haplargids
GEFS,Typic Haplargids
GEBA,Lithic Xeric Natrargids
GEBB,Lithic Ustic Natrargids
GEBC,Lithic Natrargids
GEBD,Xerertic Natrargids
GEBE,Ustertic Natrargids
GEBF,Vertic Natrargids
GEBG,Aquic Natrargids
GEBH,Durinodic Xeric Natrargids
GEBI,Durinodic Natrargids
GEBJ,Petronodic Natrargids
GEBK,Glossic Ustic Natrargids
GEBL,Haplic Ustic Natrargids
GEBM,Haploxeralfic Natrargids
GEBN,Haplic Natrargids
GEBO,Vitrixerandic Natrargids
GEBP,Vitrandic Natrargids
GEBQ,Xeric Natrargids
GEBR,Ustic Natrargids
GEBS,Glossic Natrargids
GEBT,Typic Natrargids
GECA,Vertic Paleargids
GECB,Aquic Paleargids
GECC,Arenic Ustic Paleargids
GECD,Arenic Paleargids
GECE,Calcic Paleargids
GECF,Durinodic Xeric Paleargids
GECG,Durinodic Paleargids
GECH,Petronodic Ustic Paleargids
GECI,Petronodic Paleargids
GECJ,Vitrixerandic Paleargids
GECK,Vitrandic Paleargids
GECL,Xeric Paleargids
GECM,Ustic Paleargids
GECN,Typic Paleargids
GEAA,Petrogypsic Ustic Petroargids
GEAB,Petrogypsic Petroargids
GEAC,Duric Xeric Petroargids
GEAD,Duric Petroargids
GEAE,Natric Petroargids
GEAF,Xeric Petroargids
GEAG,Ustic Petroargids
GEAH,Typic Petroargids
GFA,Petrocalcids
GFB,Haplocalcids
GFBA,Lithic Xeric Haplocalcids
GFBB,Lithic Ustic Haplocalcids
GFBC,Lithic Haplocalcids
GFBD,Vertic Haplocalcids
GFBE,Aquic Durinodic Haplocalcids
GFBF,Aquic Haplocalcids
GFBG,Duric Xeric Haplocalcids
GFBH,Duric Haplocalcids
GFBI,Durinodic Xeric Haplocalcids
GFBJ,Durinodic Haplocalcids
GFBK,Petronodic Xeric Haplocalcids
GFBL,Petronodic Ustic Haplocalcids
GFBM,Petronodic Haplocalcids
GFBN,Sodic Xeric Haplocalcids
GFBO,Sodic Ustic Haplocalcids
GFBP,Sodic Haplocalcids
GFBQ,Vitrixerandic Haplocalcids
GFBR,Vitrandic Haplocalcids
GFBS,Xeric Haplocalcids
GFBT,Ustic Haplocalcids
GFBU,Typic Haplocalcids
GFAA,Aquic Petrocalcids
GFAB,Natric Petrocalcids
GFAC,Xeralfic Petrocalcids
GFAD,Ustalfic Petrocalcids
GFAE,Argic Petrocalcids
GFAF,Calcic Lithic Petrocalcids
GFAG,Calcic Petrocalcids
GFAH,Xeric Petrocalcids
GFAI,Ustic Petrocalcids
GFAJ,Typic Petrocalcids
GGA,Aquicambids
GGB,Petrocambids
GGC,Haplocambids
GGAA,Sodic Aquicambids
GGAB,Durinodic Xeric Aquicambids
GGAC,Durinodic Aquicambids
GGAD,Petronodic Aquicambids
GGAE,Vitrixerandic Aquicambids
GGAF,Vitrandic Aquicambids
GGAG,Fluventic Aquicambids
GGAH,Xeric Aquicambids
GGAI,Ustic Aquicambids
GGAJ,Typic Aquicambids
GGCA,Lithic Xeric Haplocambids
